"movie_id","genre"
"masterchef","Drama"
"sensei-redenshon","Drama"
"sensei-redenshon","Action"
"sensei-redenshon","Crime"
"generals-son","Action"
"ek-se-bure-do","null"
"beyond-the-fringe","Documentary"
"beyond-the-fringe","Comedy"
"riot-girls","Science Fiction"
"riot-girls","Action"
"men-are-like-that","Drama"
"men-are-like-that","Comedy"
"how-weed-won-the-west","Documentary"
"momo-the-sam-giancaca-story","null"
"reception-de-sm-lempereur-guillaume-ii-reception-de-sm-lempereur-dallemagne-a-francfort-sur-le-main","Documentary"
"baseball-girl","Drama"
"the-dancing-princesses-1987","Romance"
"the-dancing-princesses-1987","Fantasy"
"kozara","War"
"johnny-yuma","Action"
"johnny-yuma","Drama"
"johnny-yuma","Western"
"can-we-still-be-friends","Comedy"
"can-we-still-be-friends","Romance"
"raton-en-ferreteria","Drama"
"the-famous-ferguson-case","Crime"
"the-famous-ferguson-case","Drama"
"der-sandmann-1","Horror"
"der-sandmann-1","Mystery"
"afonya","Romance"
"afonya","Comedy"
"afonya","Drama"
"stalin","Drama"
"stalin","History"
"stalin","War"
"stalin","TV Movie"
"rembrandts-jaccuse","Documentary"
"rembrandts-jaccuse","Mystery"
"grand-zero","Comedy"
"the-searchers","Western"
"in-the-shadow","Crime"
"in-the-shadow","Drama"
"in-another-country","Drama"
"nearly-a-happy-ending","null"
"possessed-1999","Horror"
"2-fingers-honey","Comedy"
"don-juan-2015","Documentary"
"where-the-boys-are-2009","null"
"contact-1992-1","Horror"
"contact-1992-1","Drama"
"contact-1992-1","Thriller"
"contact-1992-1","Mystery"
"three-brothers-1944","Animation"
"home-movie-1986","null"
"the-devils-of-loudun","Music"
"the-devils-of-loudun","History"
"the-devils-of-loudun","Drama"
"clinton-road","Horror"
"old-smokey","Animation"
"old-smokey","Comedy"
"vh1s-heavy-the-story-of-metal-part-one-welcome-to-my-nightmare","null"
"from-seoul-to-varanasi","Drama"
"jenny-jenny","Romance"
"jenny-jenny","Comedy"
"as-duas-faces-da-moeda","Comedy"
"shultes","Crime"
"shultes","Drama"
"pump-up-the-volume","Music"
"pump-up-the-volume","Drama"
"the-back-up-plan","Comedy"
"the-back-up-plan","Romance"
"the-feast-of-the-chicken","Documentary"
"the-feast-of-the-chicken","Comedy"
"el-anzuelo","null"
"straight-faces","Comedy"
"kantata-takwa","Documentary"
"kantata-takwa","Music"
"ephemeris","null"
"tony-vs-paul","null"
"the-touch-retouched","null"
"intensive-care","Thriller"
"intensive-care","Horror"
"intensive-care","Action"
"the-invisible-men-1906","Crime"
"the-invisible-men-1906","Fantasy"
"the-invisible-men-1906","Comedy"
"slaughter-studios","Horror"
"slaughter-studios","Comedy"
"a-silent-day","null"
"dhan-dhana-dhan-goal","Drama"
"sos-swedes-at-sea","Comedy"
"mandy","Drama"
"suffering-of-ninko","Drama"
"valley-girl","Comedy"
"valley-girl","Romance"
"ill-walk-with-god","null"
"when-i-walk","Documentary"
"john-mcgahern-a-private-world","Documentary"
"home-videos-2019","Documentary"
"following-habeck","Documentary"
"brasilia-18","Drama"
"scrooge-mcduck-and-money","Animation"
"the-salivation-army","Documentary"
"junk-mail","Comedy"
"junk-mail","Thriller"
"the-waiters","Comedy"
"cheap-smokes","Romance"
"cheap-smokes","Comedy"
"barbel-and-charly","Documentary"
"rabbit-fire","Animation"
"rabbit-fire","Action"
"rabbit-fire","Comedy"
"rabbit-fire","Family"
"captain-future-the-great-race-in-the-solar-system","Science Fiction"
"captain-future-the-great-race-in-the-solar-system","Animation"
"captain-future-the-great-race-in-the-solar-system","Adventure"
"turks-caicos","Thriller"
"turks-caicos","Drama"
"turks-caicos","Action"
"turks-caicos","Mystery"
"we-still-have-to-close-our-eyes","null"
"johannas-traum","null"
"rip-van-winkle","null"
"freek-de-jonge-de-ontlading","null"
"junkyard-dog","Horror"
"junkyard-dog","Thriller"
"grandmas-bread","null"
"final-set","Drama"
"to-the-dusty-sea","Animation"
"to-the-dusty-sea","Drama"
"miracles-of-thursday","Comedy"
"miracles-of-thursday","Family"
"miracles-of-thursday","Fantasy"
"3-islands","null"
"bullet-1976","Thriller"
"her-composition","Drama"
"her-composition","Fantasy"
"her-composition","Music"
"a-sisters-secret","Drama"
"a-sisters-secret","Mystery"
"a-sisters-secret","Thriller"
"a-sisters-secret","TV Movie"
"lola-pater","Drama"
"the-neglected-land","Drama"
"diana-7-days","Documentary"
"the-greatest-show-on-earth","Drama"
"the-greatest-show-on-earth","Family"
"the-greatest-show-on-earth","Romance"
"trust-me-baby","null"
"the-great-malaise","Animation"
"tokyo-fukushima","null"
"911-serras-morning","null"
"shock-treatment-1973","Thriller"
"shock-treatment-1973","Crime"
"shock-treatment-1973","Drama"
"temporarily-stop-sex","null"
"the-nightman-cometh","History"
"the-nightman-cometh","Documentary"
"the-nightman-cometh","Drama"
"the-nightman-cometh","Mystery"
"despues-de-parte-2-atado-y-bien-atado","Documentary"
"look-at-me","Comedy"
"look-at-me","Drama"
"the-night-evelyn-came-out-of-the-grave","Mystery"
"the-night-evelyn-came-out-of-the-grave","Horror"
"the-night-evelyn-came-out-of-the-grave","Thriller"
"love-pop","Drama"
"zato-ichi-blind-swordsman-tribute","Action"
"zato-ichi-blind-swordsman-tribute","Adventure"
"29-merci-merci","null"
"riddle-room","Horror"
"sunnyside","Comedy"
"sunnyside","Romance"
"destination-unknown-1","Animation"
"destination-unknown-1","Science Fiction"
"that-kinda-night","null"
"blues-brothers-2000","Music"
"blues-brothers-2000","Action"
"blues-brothers-2000","Comedy"
"blues-brothers-2000","Crime"
"movie-maniacs","Comedy"
"songs-to-have-sex-to","Documentary"
"outpost-rise-of-the-spetsnaz","Action"
"outpost-rise-of-the-spetsnaz","Horror"
"outpost-rise-of-the-spetsnaz","Science Fiction"
"new-york-counterpoint","Documentary"
"mr-hayashi","Documentary"
"greedy-for-tweety","Animation"
"le-portrait-de-dorian-gray","Drama"
"le-portrait-de-dorian-gray","Fantasy"
"area-88-act-ii-the-requirements-of-wolves","Animation"
"area-88-act-ii-the-requirements-of-wolves","War"
"area-88-act-ii-the-requirements-of-wolves","Action"
